SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
CAROL RAE RANCH ELEMENTARY,MARICOPA,69,0.855
CARRILLO INTERMEDIATE MAGNET SCHOOL,PIMA,41,0.976
CARTWRIGHT ELEMENTARY SCHOOL,MARICOPA,69,0.87
CASA ACADEMY,MARICOPA,57,0.947
CASA BLANCA COMMUNITY SCHOOL,PINAL,39,0.949
CASAS CHRISTIAN SCHOOL,PIMA,30,0.733
CATALINA VENTURA SCHOOL,MARICOPA,80,0.975
CAVETT ELEMENTARY SCHOOL,PIMA,29,0.966
CENTENNIAL ELEMENTARY SCHOOL - GILBERT,MARICOPA,64,0.922
CENTENNIAL ELEMENTARY SCHOOL - TUCSON,PIMA,56,0.946
CENTER FOR ACADEMIC SUCCESS #1 - CARMELITA DR,COCHISE,20,0.95
CENTER FOR ACADEMIC SUCCESS #3 - 3RD ST,COCHISE,29,0.931
CENTER FOR ACADEMIC SUCCESS #5,COCHISE,20,0.95
CENTER FOR EDUCATIONAL EXCELLENCE,MARICOPA,33,0.788
CENTER FOR ONLINE AND INNOVATIVE LEARNING (COIL),PINAL,35,1.0
CENTERRA MIRAGE ELEMENTARY,MARICOPA,52,0.923
CERBAT ELEMENTARY SCHOOL,MOHAVE,108,0.917
CESAR CHAVEZ ELEMENTARY,YUMA,98,0.99
CESAR E CHAVEZ COMMUNITY SCHOOL,MARICOPA,38,0.974
CHALLENGE CHARTER SCHOOL,MARICOPA,53,0.849
CHALLENGER BASIC SCHOOL,MARICOPA,40,0.575
CHALLENGER ELEMENTARY SCHOOL,SANTA CRUZ,46,0.978
CHAMPION CHANDLER,MARICOPA,48,0.833
CHAMPION SCHOOLS - SOUTH MOUNTAIN,MARICOPA,59,0.847
CHANDLER TRADITIONAL ACADEMY - FREEDOM,MARICOPA,85,0.894
CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,MARICOPA,74,1.0
CHANDLER TRADITIONAL ACADEMY - INDEPENDENCE,MARICOPA,116,0.966
CHANDLER TRADITIONAL ACADEMY - LIBERTY CAMPUS,MARICOPA,95,0.958
CHAPARRAL ELEMENTARY SCHOOL-85029,MARICOPA,56,1.0
CHAPARRAL ELEMENTARY SCHOOL-85295,MARICOPA,75,0.893
CHARLES W HARRIS ELEMENTARY SCHOOL,MARICOPA,77,0.987
CHARLES W SECHRIST ELEMENTARY SCHOOL,COCONINO,44,0.886
CHARLOTTE PATTERSON ELEMENTARY,MARICOPA,76,0.895
CHEATHAM ELEMENTARY SCHOOL,MARICOPA,69,0.855
CHEROKEE ELEMENTARY SCHOOL,MARICOPA,100,0.91
